h,m,s,RA,d,m,s,DEC,F60,F100,Td,B,M
4,39,49.31,69.9554583333333,45,4,45.1,45.0791944444445,4.6002,21.529,23.4293248959357,8.55695724338285E-16,2.56826313606629E+028
4,39,50.08,69.9586666666667,45,3,6.1,45.0516944444444,4.4967,21.601,23.2810580292605,8.22800483014036E-16,2.66931191680499E+028
4,39,51.59,69.9649583333333,45,1,46.9,45.0296944444444,4.3666,21.502,23.1420691216316,7.92753626250728E-16,2.76913096545298E+028
4,39,54.59,69.9774583333334,45,0,27.8,45.0077222222222,4.355,21.626,23.0952449175152,7.82801767746101E-16,2.80296690552879E+028
4,39,53.86,69.9744166666667,44,59,12.5,44.9868055555556,4.3281,22.519,22.8388779022614,7.29821531556046E-16,3.00504664113726E+028
4,39,54.25,69.9760416666667,44,57,49.4,44.9637222222222,4.5025,23.122,22.9101642538484,7.44299172049886E-16,2.94508242226334E+028
4,39,37.23,69.905125,45,12,12.2,45.2033888888889,4.8892,23.27,23.3334541839667,8.3432549370815E-16,2.64130293680527E+028
4,39,38.75,69.9114583333333,45,10,33.3,45.1759166666667,4.686,22.157,23.3707299364186,8.42590990744318E-16,2.61380326293783E+028
4,39,39.52,69.9146666666667,45,9,10.2,45.1528333333333,4.5149,21.667,23.2866402848218,8.24023174040059E-16,2.67133475945135E+028
4,39,39.17,69.9132083333334,45,7,31.1,45.1253055555556,4.3897,21.175,23.2575691351518,8.17669171370112E-16,2.69045210483252E+028
4,39,39.57,69.914875,45,6,15.9,45.1044166666667,4.3971,21.096,23.2881604910261,8.24356361062995E-16,2.66739179155033E+028
4,39,40.72,69.9196666666667,45,4,25.1,45.0736388888889,4.417,21.179,23.2914874454959,8.25085856356682E-16,2.66321489961968E+028
4,39,41.86,69.9244166666667,45,3,5.9,45.0516388888889,4.3714,21.036,23.2711473698615,8.20632771172773E-16,2.67635963762399E+028
4,39,42.62,69.9275833333333,45,1,38.8,45.0274444444444,4.3,21.412,23.0798934555404,7.79557645957485E-16,2.8158647872419E+028
4,39,45.26,69.9385833333333,45,0,19.7,45.0054722222222,4.2892,21.657,23.0030665820091,7.63460027088481E-16,2.87383449189844E+028
4,39,45.27,69.938625,44,59,8.4,44.9856666666667,4.2874,22.295,22.8418601934892,7.30423310812499E-16,3.0024948378524E+028
4,39,45.29,69.9387083333333,44,57,41.3,44.9614722222222,4.4283,22.95,22.860243728875,7.34140324126276E-16,2.98568631490006E+028
4,39,28.61,69.8692083333333,45,12,0.1,45.2000277777778,4.895,23.261,23.3423753680266,8.36298640928891E-16,2.63487516505776E+028
4,39,29.02,69.8709166666667,45,10,33,45.1758333333333,4.6765,22.379,23.3026610459356,8.27539079662325E-16,2.66134019828077E+028
4,39,30.92,69.8788333333333,45,8,46.1,45.1461388888889,4.5661,21.875,23.2963732203203,8.26157945748683E-16,2.66403706272966E+028
4,39,30.94,69.8789166666667,45,7,34.8,45.1263333333333,4.4944,21.422,23.3252338000762,8.32510144739682E-16,2.64255019854441E+028
4,39,30.97,69.8790416666667,45,5,47.9,45.0966388888889,4.4026,21.287,23.2443865834991,8.14798899550316E-16,2.69821451437268E+028
4,39,32.12,69.8838333333333,45,4,32.7,45.07575,4.3017,21.224,23.1311342136163,7.90421889143857E-16,2.78014044763374E+028
4,39,32.52,69.8855,45,2,57.7,45.0493611111111,4.2249,21.178,23.0431591215423,7.7183206525078E-16,2.84543423526157E+028
4,39,34.41,69.893375,45,1,42.5,45.0284722222222,4.2351,21.158,23.061737461549,7.75732707882854E-16,2.82981368153303E+028
4,39,36.3,69.90125,45,0,7.5,45.0020833333333,4.2298,21.529,22.9589588882076,7.5432142974094E-16,2.90843195104019E+028
4,39,37.06,69.9044166666667,44,59,12.1,44.9866944444444,4.2931,21.965,22.9304695109748,7.48458671377912E-16,2.93021165915108E+028
4,39,36.71,69.9029583333333,44,57,56.9,44.9658055555556,4.4137,22.691,22.9041336923892,7.43066873391497E-16,2.95010321601525E+028
4,39,21.49,69.8395416666667,45,12,7.8,45.2021666666667,4.8534,23.2,23.3088862364452,8.28907999014769E-16,2.65849381952595E+028
4,39,20.41,69.8350416666667,45,10,16.8,45.1713333333333,4.7159,22.777,23.2505217806344,8.16133878948377E-16,2.69826274347642E+028
4,39,21.93,69.841375,45,8,57.7,45.1493611111111,4.5828,22.37,23.1909896918292,8.03242708118026E-16,2.74023337051894E+028
4,39,22.71,69.844625,45,7,30.6,45.1251666666667,4.5303,21.904,23.2445001384061,8.14823594876755E-16,2.69983955550808E+028
4,39,23.86,69.8494166666667,45,6,3.5,45.1009722222222,4.4334,21.419,23.2488319069893,8.15766025103519E-16,2.69527462942462E+028
4,39,23.89,69.8495416666667,45,4,28.5,45.0745833333333,4.3528,21.225,23.1968747024118,8.04510844904965E-16,2.73138268123777E+028
4,39,23.92,69.8496666666667,45,3,1.4,45.0503888888889,4.2217,21.279,23.0126927750354,7.65464464002559E-16,2.86916975342773E+028
4,39,25.08,69.8545,45,1,14.5,45.0206944444444,4.1647,21.109,22.9819932773891,7.59084506269547E-16,2.89137749236318E+028
4,39,26.22,69.85925,45,0,7.2,45.002,4.213,21.437,22.9606212554352,7.54664490194849E-16,2.90710443321711E+028
4,39,28.47,69.868625,44,59,15.8,44.9877222222222,4.2504,21.814,22.9135156256557,7.44984602970477E-16,2.94394329979717E+028
4,39,28.13,69.8672083333333,44,57,44.7,44.9624166666667,4.4069,22.602,22.9171912327565,7.45736843616163E-16,2.93931938625678E+028
4,39,12.51,69.802125,45,11,39.7,45.1943611111111,4.8634,23.093,23.3467584097865,8.37269221022797E-16,2.63149081451096E+028
4,39,11.79,69.799125,45,10,20.4,45.1723333333333,4.7124,22.928,23.2092063053004,8.07172547137678E-16,2.72827959520582E+028
4,39,14.08,69.8086666666667,45,8,45.5,45.1459722222222,4.6501,22.61,23.2128988796421,8.07970730837117E-16,2.72399380075438E+028
4,39,14.86,69.8119166666667,45,7,10.5,45.1195833333333,4.5859,22.246,23.2259715210454,8.10800815540927E-16,2.71289907146568E+028
4,39,14.14,69.8089166666667,45,5,47.3,45.0964722222222,4.5265,22.044,23.2039896811056,8.0604584038397E-16,2.72750503974127E+028
4,39,16.04,69.8168333333333,45,4,28.2,45.0745,4.4754,21.718,23.2238935027773,8.10350497323906E-16,2.71169442521753E+028
4,39,16.45,69.8185416666667,45,3,1.1,45.0503055555556,4.3756,21.352,23.1927201042697,8.036154463393E-16,2.7329532239189E+028
4,39,16.85,69.8202083333333,45,1,34,45.0261111111111,4.2783,21.275,23.0874397450418,7.81151205100435E-16,2.81003717248356E+028
4,39,19.87,69.8327916666667,45,0,14.9,45.0041388888889,4.3774,21.5,23.156377768378,7.95811841751901E-16,2.75692398970643E+028
4,39,19.89,69.832875,44,59,7.6,44.9854444444445,4.2776,21.874,22.9333978734067,7.4905985027891E-16,2.9277785824581E+028
4,39,20.66,69.8360833333333,44,58,4.2,44.9678333333333,4.4833,22.399,23.0614837936529,7.75679358317526E-16,2.82619719786678E+028
4,39,4.25,69.7677083333334,45,12,14.9,45.2041388888889,4.8192,23.283,23.2488096853214,8.15761188613334E-16,2.70145597844869E+028
4,39,5.05,69.7710416666667,45,10,20.1,45.17225,4.7408,22.852,23.2616695950079,8.18563374337592E-16,2.69030889559678E+028
4,39,5.09,69.7712083333333,45,8,45.1,45.1458611111111,4.6722,22.651,23.2293541712182,8.11534218670259E-16,2.71202593136459E+028
4,39,5.88,69.7745,45,7,10.1,45.1194722222222,4.6436,22.59,23.2100150957864,8.07347328706178E-16,2.72449698493677E+028
4,39,7.04,69.7793333333333,45,5,43,45.0952777777778,4.6146,22.402,23.2217622930704,8.09888828898507E-16,2.71449090691282E+028
4,39,7.07,69.7794583333333,45,4,19.9,45.0721944444445,4.5493,22.041,23.2329687683926,8.1231840929753E-16,2.70498674286179E+028
4,39,6.74,69.7780833333333,45,2,48.8,45.0468888888889,4.4431,21.625,23.2073200957717,8.06765032721928E-16,2.72207739574809E+028
4,39,7.52,69.7813333333334,45,1,17.7,45.0215833333333,4.3475,21.417,23.1397109539485,7.92250379789845E-16,2.77039083396145E+028
4,39,9.79,69.7907916666667,44,59,58.6,44.9996111111111,4.3627,21.506,23.1360481765479,7.91469153650781E-16,2.77177198177447E+028
4,39,12.05,69.8002083333333,44,59,19.1,44.9886388888889,4.3002,21.455,23.0690246863522,7.77266372212701E-16,2.82173164453029E+028
4,39,11.7,69.79875,44,58,7.8,44.9688333333333,4.4634,22.217,23.082055100096,7.80013896334222E-16,2.8105545172127E+028
4,39,10.99,69.7957916666667,44,56,44.6,44.9457222222222,4.7208,23.359,23.115084131079,7.87007870460183E-16,2.78414609860861E+028
4,38,57.16,69.7381666666667,45,11,31,45.1919444444444,4.7603,23.069,23.231574145506,8.12015783397959E-16,2.71318426899782E+028
4,38,56.08,69.7336666666667,45,9,55.9,45.1655277777778,4.5987,22.678,23.1339250932576,7.91016565943906E-16,2.78358343925096E+028
4,38,56.87,69.7369583333333,45,8,28.8,45.1413333333333,4.5305,22.534,23.0862403178429,7.80897772291727E-16,2.81814238690263E+028
4,38,57.28,69.7386666666667,45,7,5.7,45.11825,4.5194,22.465,23.0896478057957,7.81617903617555E-16,2.81410618696181E+028
4,38,58.82,69.7450833333333,45,5,34.7,45.0929722222222,4.5562,22.507,23.1243638879552,7.88980543055504E-16,2.78628349339095E+028
4,38,59.98,69.7499166666667,45,3,47.8,45.0632777777778,4.5482,22.161,23.2011240718915,8.05427370441852E-16,2.72759023734997E+028
4,39,0.01,69.7500416666667,45,2,40.5,45.0445833333333,4.3988,21.752,23.1185918395414,7.87753136751696E-16,2.78763023448476E+028
4,39,0.8,69.7533333333333,45,1,9.5,45.0193055555556,4.2821,21.375,23.0663514232633,7.76703519161821E-16,2.82570130363202E+028
4,39,1.2,69.755,45,0,10.1,45.0028055555556,4.2892,21.426,23.0623260586805,7.75856506941274E-16,2.82774938016988E+028
4,39,1.97,69.7582083333333,44,59,22.6,44.9896111111111,4.2333,21.121,23.0690812846294,7.77278291933313E-16,2.82174935050004E+028
4,39,1.99,69.7582916666667,44,58,27.2,44.9742222222222,4.4038,21.594,23.1655993619686,7.97787041889194E-16,2.74827012466887E+028
4,39,3.52,69.7646666666667,44,56,56.2,44.9489444444444,4.6019,22.29,23.2344425185141,8.12638288707192E-16,2.69652809723009E+028
4,38,46.66,69.6944166666667,45,11,38.4,45.194,4.6977,22.986,23.1775424351562,8.00350119888999E-16,2.75285603781038E+028
4,38,47.83,69.6992916666667,45,10,7.4,45.1687222222222,4.5335,22.431,23.1153869618508,7.87072192532362E-16,2.7977310926533E+028
4,38,48.25,69.7010416666667,45,8,40.3,45.1445277777778,4.5008,22.329,23.1004719972594,7.83908468331432E-16,2.80751762854872E+028
4,38,49.05,69.704375,45,6,57.3,45.1159166666667,4.5262,22.263,23.1483072753372,7.9408593345694E-16,2.76977834969355E+028
4,38,49.1,69.7045833333333,45,5,26.3,45.0906388888889,4.5752,22.279,23.2045355502382,8.06163689175041E-16,2.72675356272444E+028
4,38,51,69.7125,45,4,15.1,45.0708611111111,4.4899,22.034,23.1610801759298,7.96818647697357E-16,2.75752272272702E+028
4,38,51.43,69.7142916666667,45,2,32.2,45.0422777777778,4.4029,21.654,23.1489580770613,7.94225015529295E-16,2.76477323233488E+028
4,38,51.46,69.7144166666667,45,1,13,45.0202777777778,4.2941,21.301,23.1011340021449,7.84048706989958E-16,2.79928979383933E+028
4,38,51.5,69.7145833333333,45,0,1.7,45.0004722222222,4.3521,21.263,23.1859522046219,8.02158281576664E-16,2.73488917943588E+028
4,38,53.76,69.724,44,59,22.2,44.9895,4.228,20.951,23.1069986756618,7.85291822163591E-16,2.79294784021811E+028
4,38,54.9,69.72875,44,58,34.7,44.9763055555556,4.3793,21.432,23.1765132406569,8.00129026251667E-16,2.74035285001615E+028
4,38,54.57,69.727375,44,57,3.6,44.951,4.466,21.866,23.1740318272037,7.99596134942311E-16,2.74063629478079E+028
4,38,54.62,69.7275833333333,44,55,16.7,44.9213055555556,4.5831,22.692,23.1115630140381,7.86260238633216E-16,2.78527954203265E+028
4,38,38.43,69.660125,45,11,26,45.1905555555556,4.7111,23.127,23.1592751290646,7.96432076815401E-16,2.76618785735532E+028
4,38,38.48,69.6603333333333,45,9,58.9,45.1663611111111,4.5603,22.652,23.0936445618351,7.82463146383819E-16,2.81406383044331E+028
4,38,40.02,69.66675,45,8,35.8,45.1432777777778,4.5257,22.552,23.0759267553608,7.78720882511422E-16,2.82614214514585E+028
4,38,40.81,69.6700416666667,45,7,8.7,45.1190833333333,4.6285,22.554,23.2006914536232,8.05334028683392E-16,2.73128456743006E+028
4,38,41.99,69.6749583333333,45,5,21.9,45.0894166666667,4.6754,22.457,23.2816687437971,8.22934188800393E-16,2.67111289950774E+028
4,38,42.04,69.6751666666667,45,4,2.7,45.0674166666667,4.5797,22.099,23.2556619372667,8.17253487683133E-16,2.68836736731833E+028
4,38,42.84,69.6785,45,2,19.8,45.0388333333333,4.3971,21.744,23.1184877642861,7.87731017453535E-16,2.78735265583472E+028
4,38,44,69.6833333333333,45,1,4.6,45.0179444444444,4.2541,21.29,23.0520846001394,7.73704353009024E-16,2.83656901074623E+028
4,38,44.78,69.6865833333333,45,0,1.3,45.0003611111111,4.2573,21.161,23.0899509870008,7.81681999218876E-16,2.8065231000628E+028
4,38,46.29,69.692875,44,59,29.7,44.9915833333333,4.2169,20.901,23.1056670677211,7.85009447911663E-16,2.79408186600187E+028
4,38,45.95,69.6914583333333,44,58,18.4,44.9717777777778,4.2681,21.179,23.0993034134499,7.83660958070082E-16,2.79765771358364E+028
4,38,46,69.6916666666667,44,56,47.3,44.9464722222222,4.3492,21.534,23.1115388282,7.86255104976181E-16,2.78685816019652E+028
4,38,45.66,69.69025,44,55,36,44.9266666666667,4.4345,22.088,23.0783226239444,7.79226210485222E-16,2.81075750142464E+028
4,38,44.96,69.6873333333333,44,54,12.8,44.9035555555556,4.5409,23.213,22.9351477240229,7.49419243853792E-16,2.92104752669025E+028
4,38,30.2,69.6258333333333,45,11,9.6,45.186,4.7807,23.201,23.2235411034747,8.10274147286684E-16,2.71865844416901E+028
4,38,30.25,69.6260416666667,45,9,46.5,45.1629166666667,4.6985,22.945,23.1884906096457,8.02704602792104E-16,2.74289360174524E+028
4,38,31.05,69.629375,45,8,15.4,45.1376111111111,4.6832,22.853,23.1927256852505,8.03616648696731E-16,2.73824547286137E+028
4,38,31.48,69.6311666666667,45,6,40.4,45.1112222222222,4.7467,23.008,23.2303750011999,8.1175563662432E-16,2.70920590953771E+028
4,38,34.15,69.6422916666667,45,5,5.6,45.0848888888889,4.733,22.672,23.2970151827984,8.26298882345804E-16,2.65996897832007E+028
4,38,33.07,69.6377916666667,45,3,58.2,45.0661666666667,4.6766,22.19,23.3508549561152,8.38177050151609E-16,2.62118447179937E+028
4,38,34.62,69.64425,45,2,23.2,45.0397777777778,4.4722,21.69,23.2271233577833,8.11050498303182E-16,2.70726692197717E+028
4,38,34.66,69.6444166666667,45,1,8,45.0188888888889,4.2938,21.154,23.1393045841161,7.92163680127694E-16,2.77052822391186E+028
4,38,36.2,69.6508333333333,44,59,52.9,44.9980277777778,4.1761,20.915,23.0480192702768,7.72851189466358E-16,2.83844401805307E+028
4,38,36.59,69.6524583333333,44,59,13.3,44.9870277777778,4.189,20.985,23.0465970036696,7.72552859524321E-16,2.8388459747832E+028
4,38,37.36,69.6556666666667,44,58,25.8,44.9738333333333,4.189,20.985,23.0465970036696,7.72552859524321E-16,2.83801335708537E+028
4,38,37.79,69.6574583333333,44,56,42.9,44.94525,4.2352,21.217,23.046451272506,7.72522295875623E-16,2.8363218544638E+028
4,38,37.09,69.6545416666667,44,55,19.7,44.9221388888889,4.2992,21.799,22.9799033769406,7.58651509112566E-16,2.88669455847982E+028
4,38,37.14,69.65475,44,53,52.6,44.8979444444444,4.3509,22.472,22.8788478655188,7.37915106396685E-16,2.96621611749418E+028
4,38,22.38,69.59325,45,9,53.9,45.1649722222222,4.7954,23.241,23.2311142700225,8.1191600962087E-16,2.71189815597242E+028
4,38,23.55,69.598125,45,8,38.7,45.1440833333333,4.8253,23.24,23.2663529023732,8.19585493628041E-16,2.68527834380692E+028
4,38,23.25,69.596875,45,6,32,45.1088888888889,4.8361,23.326,23.258134547872,8.17792433613905E-16,2.68906794111565E+028
4,38,24.42,69.60175,45,5,16.8,45.088,4.8086,23.195,23.2577358967596,8.17705524757653E-16,2.6881083676326E+028
4,38,24.86,69.6035833333333,45,3,37.8,45.0605,4.6727,22.438,23.2831863290413,8.23266502733179E-16,2.66832235493871E+028
4,38,26.03,69.6084583333333,45,2,10.8,45.0363333333333,4.5238,21.658,23.3001187713389,8.2698047515988E-16,2.65491427216729E+028
4,38,26.09,69.6087083333333,45,0,35.8,45.0099444444444,4.3436,21.232,23.1831750285064,8.01560861397454E-16,2.73750365020744E+028
4,38,29.12,69.6213333333333,44,59,16.8,44.988,4.1327,20.966,22.9769553677631,7.58041011157576E-16,2.8932550350244E+028
4,38,29.54,69.6230833333333,44,58,13.4,44.9703888888889,4.0514,20.966,22.8682083668462,7.35754728032463E-16,2.97972589376841E+028
4,38,29.95,69.6247916666667,44,56,58.2,44.9495,4.152,20.962,23.0036583730479,7.63583150670677E-16,2.8697975594387E+028
4,38,29.62,69.6234166666667,44,55,54.8,44.9318888888889,4.2902,21.51,23.0419574039049,7.71580218637618E-16,2.8389407239926E+028
4,38,28.93,69.6205416666667,44,54,19.8,44.9055,4.4805,22.401,23.0575288561442,7.74847908608284E-16,2.82530803507333E+028
4,38,28.62,69.61925,44,52,36.8,44.8768888888889,4.691,23.311,23.0913124524015,7.81969871073871E-16,2.79779219808352E+028
4,38,16.25,69.5677083333333,45,3,49.1,45.0636388888889,4.7155,22.89,23.2222109541104,8.09986004203673E-16,2.71226098427101E+028
4,38,17.45,69.5727083333333,45,2,2.3,45.0339722222222,4.5461,21.955,23.2510077297111,8.16239681827365E-16,2.68970892847742E+028
4,38,18.99,69.579125,45,0,39.2,45.0108888888889,4.344,21.346,23.1537484125288,7.95249262918041E-16,2.75928809844355E+028
4,38,20.91,69.587125,44,59,16.2,44.9878333333333,4.1024,21.095,22.9029924881223,7.42833834283188E-16,2.95247435686774E+028
4,38,20.95,69.5872916666667,44,58,20.8,44.9724444444445,4.1024,21.095,22.9029924881223,7.42833834283188E-16,2.95146441047871E+028
4,38,21.36,69.589,44,57,13.5,44.95375,4.1805,21.339,22.9432694508003,7.51088870646668E-16,2.91781217808088E+028
4,38,20.69,69.5862083333333,44,55,22.5,44.9229166666667,4.3692,22.021,23.0130577680469,7.6554053616118E-16,2.86076699673506E+028
4,38,19.99,69.5832916666667,44,54,7.3,44.9020277777778,4.5953,23.042,23.0414043399774,7.71464330655384E-16,2.83748018044527E+028
4,38,8.03,69.5334583333333,45,3,52.4,45.0645555555556,4.7826,23.202,23.2255314781585,8.10705441581758E-16,2.70990918854031E+028
4,38,8.1,69.53375,45,2,9.5,45.0359722222222,4.6007,22.424,23.1993247954473,8.05039206727398E-16,2.72725184495711E+028
4,38,9.65,69.5402083333333,45,0,54.4,45.0151111111111,4.3922,21.757,23.108956628415,7.85707141728624E-16,2.79306060374642E+028
4,38,12.35,69.5514583333333,44,58,36,44.9766666666667,4.1829,21.553,22.8918165960749,7.40554308351453E-16,2.96082736571475E+028
4,38,13.16,69.5548333333333,44,57,12.9,44.9535833333333,4.2784,21.997,22.903740564612,7.42986589262557E-16,2.94962003367685E+028
4,38,12.46,69.5519166666667,44,55,57.6,44.9326666666667,4.5295,22.702,23.0438552165006,7.71977973056758E-16,2.83752710355042E+028
4,38,1,69.5041666666667,45,2,8.9,45.0358055555556,4.6897,22.724,23.2322826059103,8.12169506034107E-16,2.70329841288835E+028
4,38,1.07,69.5044583333333,45,0,33.9,45.0094166666667,4.5135,22.131,23.165830003898,7.978364864922E-16,2.75025032251777E+028
4,38,3.4,69.5141666666667,44,58,39.2,44.9775555555556,4.3065,22.116,22.9100326418037,7.44272263233123E-16,2.94609500370568E+028
4,38,3.83,69.5159583333333,44,57,20.1,44.9555833333333,4.4245,22.925,22.8615036386274,7.34395541717476E-16,2.9842578089978E+028
4,37,53.17,69.4715416666667,45,1,52.4,45.0312222222222,4.787,23.138,23.2462378548696,8.15201567812401E-16,2.69296966745935E+028
4,37,53.24,69.4718333333333,45,0,29.3,45.0081388888889,4.7069,22.922,23.2041232295481,8.06074671344495E-16,2.72206513796225E+028
4,37,53.68,69.4736666666667,44,59,2.2,44.9839444444445,4.5735,22.614,23.1190568565323,7.87851972805084E-16,2.78352829713902E+028
4,37,56.37,69.484875,44,57,15.5,44.9543055555556,4.6398,23.243,23.0466695121887,7.72568066770584E-16,2.83672524363338E+028
4,37,44.64,69.436,45,0,36.4,45.0101111111111,4.8512,23.385,23.2614669577696,8.18519168860837E-16,2.68079721595843E+028
